,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
3203,University of St Thomas,Houston,TX,0.9671,32484,14,2524,9760,10090,"City, Population Size >= 250,000",52523,1171
3204,Sam Houston State University,Huntsville,TX,0.8463,8960,20,18184,10908,10908,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44142,1056
3215,Southern Methodist University,Dallas,TX,0.5225,61980,11,7044,17750,8700,"Suburb, Population >= 250,000",64596,1444
3218,Southwestern Assemblies of God University,Waxahachie,TX,0.8565,17782,17,1435,8150,14250,"Suburb, Population >= 250,000",36135,1015
3219,Southwestern University,Georgetown,TX,0.4479,48650,11,1480,12300,15170,"City, Population < 100,000",44990,1262
3220,Stephen F Austin State University,Nacogdoches,TX,0.8951,10600,17,8961,9642,9642,"Rural Town, Urban Cluster 35 miles away from an urban area",41398,1067
3221,Texas State University,San Marcos,TX,0.877,11135,21,33834,11460,10760,"City, Population < 100,000",46183,1090
3222,Southwestern Adventist University,Keene,TX,0.5362,24060,12,659,8600,8600,"Fringe Town, Urban cluster that is 10 miles from an urban area",39053,1020
3224,Sul Ross State University,Alpine,TX,0.9707,7649,12,1495,9744,9639,"Rural Town, Urban Cluster 35 miles away from an urban area",34896,972
3225,Tarleton State University,Stephenville,TX,0.8706,7848,17,11880,10328,12117,"Rural Town, Urban Cluster 35 miles away from an urban area",44438,1061
3232,Texas A & M University-Kingsville,Kingsville,TX,0.9655,9892,16,4562,9425,10197,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42646,1130
3233,Texas A & M University-College Station,College Station,TX,0.6265,13239,18,56792,11550,11550,"City, Population Size between 100,000 and 250,000",57224,1281
3234,The University of Texas at Arlington,Arlington,TX,0.808,11727,24,30503,11392,11392,"City, Population Size >= 250,000",53704,1112
3235,The University of Texas at Austin,Austin,TX,0.3135,11698,18,40980,13058,13280,"City, Population Size >= 250,000",58194,1373
3236,The University of Texas at Dallas,Richardson,TX,0.8474,14564,27,21586,12142,12048,"City, Population Size between 100,000 and 250,000",55455,1304
3237,The University of Texas at El Paso,El Paso,TX,0.9992,9744,19,20123,9582,12302,"City, Population Size >= 250,000",37714,982
3238,The University of Texas at Tyler,Tyler,TX,0.9387,9855,15,6568,9908,9118,"City, Population Size between 100,000 and 250,000",44858,1114
3240,Texas Christian University,Fort Worth,TX,0.561,53980,14,10510,14250,14250,"City, Population Size >= 250,000",58828,1307
3243,Texas Lutheran University,Seguin,TX,0.9183,33920,12,1307,11330,11030,"Fringe Town, Urban cluster that is 10 miles from an urban area",44580,1116
3244,The University of Texas Permian Basin,Odessa,TX,0.9471,9234,18,4060,10668,11414,"City, Population Size between 100,000 and 250,000",47754,1011
3245,The University of Texas at San Antonio,San Antonio,TX,0.869,8945,24,29112,11046,9972,"City, Population Size >= 250,000",44773,1111
3246,Texas Southern University,Houston,TX,0.968,9173,18,6830,9664,14004,"City, Population Size >= 250,000",32833,922
3247,Texas Tech University,Lubbock,TX,0.6734,11852,21,32346,10460,10460,"City, Population Size >= 250,000",50380,1198
3248,Texas Wesleyan University,Fort Worth,TX,0.6093,36128,14,1549,10919,10919,"City, Population Size >= 250,000",41961,1025
3249,Texas Woman's University,Denton,TX,0.9363,8311,16,8876,10368,8325,"City, Population Size between 100,000 and 250,000",45995,1041
3250,Trinity University,San Antonio,TX,0.3051,49264,9,2491,14134,14134,"City, Population Size >= 250,000",56544,1390
3262,West Texas A & M University,Canyon,TX,0.9163,9101,17,6828,9860,8582,"Fringe Town, Urban cluster that is 10 miles from an urban area",41997,1050
3267,Brigham Young University,Provo,UT,0.6667,6304,21,31411,8560,8560,"City, Population Size between 100,000 and 250,000",53940,1376
3268,Brigham Young University-Hawaii,Laie,HI,0.3421,6250,15,2716,8828,4800,"Fringe Town, Urban cluster that is 10 miles from an urban area",38180,1126
3282,Utah State University,Logan,UT,0.9373,9228,19,20573,8232,8466,"City, Population < 100,000",42027,1187
3285,University of Utah,Salt Lake City,UT,0.8913,9315,18,25392,11437,15012,"City, Population Size between 100,000 and 250,000",52102,1236
3287,Westminster University,Salt Lake City,UT,0.6975,40352,8,955,11024,14667,"City, Population Size between 100,000 and 250,000",48633,1247
3288,Bennington College,Bennington,VT,0.4531,61448,9,733,17720,17720,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",32121,1337
3289,Castleton University,Castleton,VT,0.8051,13078,16,1585,12404,11216,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",37949,1102
3290,Champlain College,Burlington,VT,0.5568,44220,14,3031,16330,13138,"City, Population < 100,000",46383,1259
3297,Saint Michael's College,Colchester,VT,0.8515,49840,10,1200,14995,14995,"Suburb, Population between 100,000 and 250,000",44204,1253
3302,University of Vermont,Burlington,VT,0.5979,18890,17,11326,13354,13606,"City, Population < 100,000",46351,1358
3305,Averett University,Danville,VA,0.7603,37790,12,1121,11360,5034,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42084,1026
3308,Bridgewater College,Bridgewater,VA,0.9036,39800,13,1379,13830,10080,"Suburb, Population < 100,000",43858,1127
3309,William & Mary,Williamsburg,VA,0.335,23970,12,6778,13828,13828,"Suburb, Population < 100,000",54702,1465
3310,Regent University,Virginia Beach,VA,0.3234,19680,21,4281,7174,9952,"City, Population Size >= 250,000",37590,1150
3313,Christopher Newport University,Newport News,VA,0.8535,15425,13,4442,11990,13048,"City, Population Size between 100,000 and 250,000",48442,1199
3322,Ferrum College,Ferrum,VA,0.843,38320,11,780,13230,13230,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",34610,1010
3323,George Mason University,Fairfax,VA,0.9,13401,16,26447,13120,13774,"Suburb, Population >= 250,000",58412,1255
3325,Hampden-Sydney College,Hampden-Sydney,VA,0.3979,50740,9,846,14634,11408,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",53609,1182
3326,Hampton University,Hampton,VA,0.7447,29162,13,2846,12986,12986,"Suburb, Population >= 250,000",44267,1053
3327,Hollins University,Roanoke,VA,0.724,41210,8,689,14960,14625,"Suburb, Population between 100,000 and 250,000",31660,1228
3329,James Madison University,Harrisonburg,VA,0.7831,13092,17,19968,12040,12040,"City, Population < 100,000",55354,1241
3332,Longwood University,Farmville,VA,0.8779,14840,13,3009,14318,14318,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42617,1116
3334,University of Lynchburg,Lynchburg,VA,0.9594,34500,10,1543,13060,13060,"City, Population < 100,000",42815,1125
3337,University of Mary Washington,Fredericksburg,VA,0.8579,14234,12,3443,12090,10000,"Suburb, Population between 100,000 and 250,000",46923,1260
3345,Norfolk State University,Norfolk,VA,0.895,9622,18,5328,10844,10844,"City, Population Size between 100,000 and 250,000",34245,949
3347,Old Dominion University,Norfolk,VA,0.9514,11220,16,18152,13480,13480,"City, Population Size between 100,000 and 250,000",44503,1172
3352,Radford University,Radford,VA,0.9334,11916,12,5945,10567,10567,"Fringe Town, Urban cluster that is 10 miles from an urban area",44264,1057
3354,Randolph-Macon College,Ashland,VA,0.8545,46460,10,1476,13510,11952,"Suburb, Population >= 250,000",47181,1122
3360,University of Richmond,University of Richmond,VA,0.2437,60330,8,3069,14870,14870,"City, Population Size between 100,000 and 250,000",65044,1474
3362,Roanoke College,Salem,VA,0.7976,35350,11,1801,15366,15564,"Suburb, Population between 100,000 and 250,000",44540,1172
3366,Southern Virginia University,Buena Vista,VA,0.9945,19108,17,1053,9150,6700,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",30960,1089
3371,Sweet Briar College,Sweet Briar,VA,0.7575,23590,8,451,14250,7100,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",37276,1232
3375,University of Virginia's College at Wise,Wise,VA,0.7557,11498,14,993,11919,9726,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35374,1068
3377,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.5698,14586,17,30339,12680,12028,"City, Population < 100,000",65701,1337
3379,Virginia Commonwealth University,Richmond,VA,0.91,15828,16,20552,12279,12730,"City, Population Size between 100,000 and 250,000",45582,1170
3380,University of Virginia-Main Campus,Charlottesville,VA,0.1866,20342,15,17103,12890,12890,"Suburb, Population between 100,000 and 250,000",69344,1487
3384,Virginia State University,Petersburg,VA,0.8972,9654,12,4295,11544,11544,"Suburb, Population >= 250,000",33848,910
3385,Virginia Union University,Richmond,VA,0.8055,14305,17,1297,9286,5000,"City, Population Size between 100,000 and 250,000",31496,900
3386,Virginia Wesleyan University,Virginia Beach,VA,0.8143,36910,13,1154,11070,11070,"City, Population Size >= 250,000",38299,1278
3404,The Evergreen State College,Olympia,WA,0.7437,8750,17,1799,13806,13806,"Suburb, Population between 100,000 and 250,000",33724,1131
3407,Gonzaga University,Spokane,WA,0.6974,50735,12,5018,13794,16055,"City, Population Size between 100,000 and 250,000",65106,1329
3421,Northwest University,Kirkland,WA,0.9426,35000,9,662,10140,10140,"Suburb, Population >= 250,000",47683,1198
3424,Pacific Lutheran University,Tacoma,WA,0.889,50928,11,2253,11826,11826,"Suburb, Population >= 250,000",53149,1338
3426,University of Puget Sound,Tacoma,WA,0.8266,57626,9,1712,14430,14430,"City, Population Size between 100,000 and 250,000",46066,1301
3428,Saint Martin's University,Lacey,WA,0.9504,42220,11,1344,13840,10848,"City, Population < 100,000",52460,1090
3431,Seattle Pacific University,Seattle,WA,0.9071,37158,12,2409,14409,14409,"City, Population Size >= 250,000",50511,1205
3432,Seattle University,Seattle,WA,0.8515,51324,10,4033,13524,13524,"City, Population Size >= 250,000",61038,1269
3445,Western Washington University,Bellingham,WA,0.9269,8967,17,13686,14691,14691,"City, Population < 100,000",44786,1257
3447,Whitman College,Walla Walla,WA,0.477,58622,9,1472,14220,14220,"City, Population < 100,000",45845,1416
3448,Whitworth University,Spokane,WA,0.9052,48990,10,2037,13100,16515,"Suburb, Population >= 250,000",47405,1207
3450,Alderson Broaddus University,Philippi,WV,0.6149,31500,14,633,10170,12300,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",39093,991
3452,Appalachian Bible College,Mount Hope,WV,1,17050,9,182,8560,6292,"Suburb, Population < 100,000",29303,1088
3456,Bluefield State University,Bluefield,WV,0.9717,9840,14,1244,10200,10200,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35084,999
3461,Concord University,Athens,WV,0.9139,9100,15,1311,10090,10090,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",32450,1007
3462,Davis & Elkins College,Elkins,WV,0.7526,30680,10,644,10125,8354,"Rural Town, Urban Cluster 35 miles away from an urban area",31540,985
3463,Fairmont State University,Fairmont,WV,0.9849,8008,13,2776,10022,10022,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",36189,973
3477,Shepherd University,Shepherdstown,WV,0.9586,8282,15,2325,10987,10987,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",40796,1064
3481,West Virginia State University,Institute,WV,0.9618,8647,16,1362,12214,9568,"Suburb, Population between 100,000 and 250,000",33646,967
3483,West Liberty University,West Liberty,WV,0.7409,8716,12,1648,10020,7380,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",35417,995
3484,West Virginia University Institute of Technology,Beckley,WV,0.6458,7848,12,1038,11676,9200,"City, Population < 100,000",44071,1050
3485,West Virginia Wesleyan College,Buckhannon,WV,0.9635,32976,11,886,10660,4000,"Rural Town, Urban Cluster 35 miles away from an urban area",38999,1067
3490,West Virginia University,Morgantown,WV,0.8838,9360,17,18370,11618,9200,"City, Population < 100,000",44071,1116
3497,Beloit College,Beloit,WI,0.6586,56312,10,921,10330,9161,"City, Population < 100,000",37612,1306
3499,Cardinal Stritch University,Milwaukee,WI,0.9258,35444,7,526,8900,7200,"Suburb, Population >= 250,000",47325,980
3500,Carroll University,Waukesha,WI,0.7214,36190,14,2689,11564,7552,"City, Population < 100,000",50885,1212
3501,Carthage College,Kenosha,WI,0.8183,34500,13,2541,12648,12648,"City, Population < 100,000",44092,1160
3502,Concordia University-Wisconsin,Mequon,WI,0.7037,33062,11,2556,12160,12160,"Suburb, Population >= 250,000",46700,1150
3509,Lawrence University,Appleton,WI,0.7227,53979,8,1411,11520,8508,"City, Population < 100,000",38000,1358
3510,Maranatha Baptist University,Watertown,WI,0.7508,18810,11,571,8380,8140,"Fringe Town, Urban cluster that is 10 miles from an urban area",36383,1117
3511,Marian University,Fond Du Lac,WI,0.7155,30000,12,1058,8290,5100,"City, Population < 100,000",46644,1050
3512,Marquette University,Milwaukee,WI,0.8721,46670,13,7290,14636,14636,"City, Population Size >= 250,000",61604,1302
3519,Mount Mary University,Milwaukee,WI,0.6945,33390,9,640,9830,7400,"City, Population Size >= 250,000",39407,1050
3524,Northland College,Ashland,WI,0.6839,41237,10,508,9688,9688,"Rural Town, Urban Cluster 35 miles away from an urban area",35443,1129
3526,Saint Norbert College,De Pere,WI,0.8359,43204,11,1784,12202,9154,"Suburb, Population between 100,000 and 250,000",46413,1178
3529,Viterbo University,La Crosse,WI,0.7238,31150,12,1456,10260,10260,"City, Population < 100,000",51465,1188
3533,University of Wisconsin-Whitewater,Whitewater,WI,0.8238,7864,19,8893,7890,7890,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",45193,1090
3536,University of Wisconsin-Eau Claire,Eau Claire,WI,0.7662,8914,19,9138,9014,9014,"City, Population < 100,000",47937,1190
3537,University of Wisconsin-Green Bay,Green Bay,WI,0.8962,7873,23,6305,7634,7634,"City, Population Size between 100,000 and 250,000",43144,1090
3538,University of Wisconsin-La Crosse,La Crosse,WI,0.7425,9232,19,9137,6942,6942,"City, Population < 100,000",48987,1190
3539,Wisconsin Lutheran College,Milwaukee,WI,0.9383,33762,12,990,11380,8304,"City, Population Size >= 250,000",48252,1181
3540,University of Wisconsin-Oshkosh,Oshkosh,WI,0.8852,7795,20,7812,8894,8894,"City, Population < 100,000",46326,1050
3541,University of Wisconsin-Parkside,Kenosha,WI,0.7283,7466,17,2969,7966,7966,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",41318,1090
3543,University of Wisconsin-Stout,Menomonie,WI,0.8631,9663,18,6176,8398,7589,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",48146,1120
3544,University of Wisconsin-Superior,Superior,WI,0.956,8167,17,2021,7013,7013,"Suburb, Population between 100,000 and 250,000",40510,1050
3545,University of Wisconsin-Madison,Madison,WI,0.4906,10796,18,35184,12894,12894,"City, Population Size >= 250,000",59235,1374
3546,University of Wisconsin-Milwaukee,Milwaukee,WI,0.8632,9620,17,17076,10896,10896,"City, Population Size >= 250,000",44176,1090
3547,University of Wisconsin-Platteville,Platteville,WI,0.8543,7862,20,5920,8072,9582,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",50529,1150
3548,University of Wisconsin-River Falls,River Falls,WI,0.8448,8135,18,4327,8094,7300,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43422,1090
3549,University of Wisconsin-Stevens Point,Stevens Point,WI,0.8905,8376,21,6995,8000,8000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42283,1120
3629,University of the Virgin Islands,Charlotte Amalie,VI,0.969,5235,8,1325,9900,11374,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",32082,911
3631,Purdue University-Main Campus,West Lafayette,IN,0.527,9992,14,38438,10030,10030,"City, Population < 100,000",57836,1354
3643,St. John's College,Santa Fe,NM,0.5408,37090,8,364,14710,10000,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",30077,1383
3714,New College of Florida,Sarasota,FL,0.7541,6916,7,669,10291,19041,"City, Population < 100,000",33793,1236
3868,University of Washington-Bothell Campus,Bothell,WA,0.8808,12224,21,5166,15282,15282,"Suburb, Population >= 250,000",59911,1322
3946,Soka University of America,Aliso Viejo,CA,0.5663,35544,7,445,13422,17784,"Suburb, Population >= 250,000",38688,1350
4221,Florida Gulf Coast University,Fort Myers,FL,0.7439,6118,20,13788,9772,9672,"Suburb, Population >= 250,000",42608,1114
4257,University of Connecticut-Stamford,Stamford,CT,0.9218,16650,21,2246,17230,15388,"City, Population Size between 100,000 and 250,000",58770,1116
4408,DigiPen Institute of Technology,Redmond,WA,0.6637,36100,10,1058,15112,15112,"City, Population < 100,000",55473,1301
4482,Johnson & Wales University-Charlotte,Charlotte,NC,0.7334,38442,13,1140,14876,10250,"City, Population Size >= 250,000",36348,1023
4611,Visible Music College,Memphis,TN,0.2041,20000,6,208,6000,6000,"City, Population Size >= 250,000",34016,1120
4712,The King's College,New York,NY,0.4527,21690,8,290,18394,16465,"City, Population Size >= 250,000",46896,1302
4822,University of Minnesota-Rochester,Rochester,MN,0.717,13464,14,617,12882,12882,"City, Population Size between 100,000 and 250,000",54565,1190
5066,John Paul the Great Catholic University,Escondido,CA,0.7959,28000,18,300,13230,13230,"Suburb, Population >= 250,000",33366,1066
5068,Ottawa University-Surprise,Surprise,AZ,0.2866,33000,16,1098,15000,10000,"Suburb, Population >= 250,000",45136,1079
5266,Augusta University,Augusta,GA,0.8553,8122,17,5098,9998,10145,"City, Population Size between 100,000 and 250,000",37800,1105
5267,Middle Georgia State University,Macon,GA,0.9971,3958,18,6589,8770,11352,"City, Population Size between 100,000 and 250,000",35019,1020
5289,University of North Georgia,Dahlonega,GA,0.6963,4995,18,15815,11950,9330,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39951,1083
5457,Kennesaw State University,Kennesaw,GA,0.6785,5786,22,38051,12947,12947,"Suburb, Population >= 250,000",45344,1133
5461,Milligan University,Milligan,TN,0.6671,37550,9,726,7750,6516,"Suburb, Population between 100,000 and 250,000",41817,1190
5471,Emory University-Oxford College,Oxford,GA,0.15,57948,10,1048,17016,17016,"Suburb, Population >= 250,000",68643,1487
5492,Husson University,Bangor,ME,0.9131,21090,16,2338,11391,11550,"City, Population < 100,000",36926,1100
5642,Purdue University Northwest,Hammond,IN,0.7282,8174,15,6083,8215,8445,"Suburb, Population >= 250,000",42371,1055
5987,Commonwealth University of Pennsylvania,Bloomsburg,PA,0.9396,10848,19,9778,11691,10617,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44099,1067
5988,Pennsylvania Western University,California,PA,0.9362,10958,18,9203,11800,11800,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40310,1057
